target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENST00000369512	0.00793233404211871	0.261798880153139	7.04868778738641	20.0918565439212	1	3.26457778502517	1.43513261028008	0.700829709327566	0.734302900952518	0.638247483630178	0.734302900952518
ENST00000413996	0.0079239350349817	0.261798880153139	7.05058541226311	27.6072160352608	1	1.94679635220999	1.97194400251863	0.780267260941369	1.19167674157726	0.912024866150747	1.19167674157726
ENST00000252015	0.00797859597218856	0.262798002803389	7.03827231608568	25.3387096220792	1	4.22821858989516	1.80990783014851	0.868129667971857	0.941778162176659	0.270845392927761	0.941778162176659
ENST00000507420	0.00801955174750379	0.263092520003937	7.02910289389992	44.746624895478	1	1.43278915114912	3.19618749253415	1.03198058620715	2.164206906327	1.01490660522335	2.164206906327
ENST00000571254	0.00801683425070242	0.263092520003937	7.02970981815524	28.6940516193774	1	1.22972418770266	2.04957511566981	0.992931880154262	1.05664323551555	1.07584431105424	1.07584431105424
ENST00000327374	0.00810375371788232	0.263749101202205	7.01040078065888	27.7797023473924	1	1.93970129198173	1.98426445338517	0.347268015015916	1.63699643836926	0.912607572550457	1.63699643836926
ENST00000400075	0.0080954119672733	0.263749101202205	7.01224467690503	32.2571324794653	1	1.58726011599857	2.30408089139038	1.27485115500452	1.02922973638586	0.976229500983235	1.02922973638586
ENST00000528053	0.0080786547570316	0.263749101202205	7.01595464285684	36.6589323355997	1	2.20098745930373	2.61849516682855	1.70779591556547	0.910699251263077	0.894657088633165	0.910699251263077
ENST00000569862	0.00808019690945359	0.263749101202205	7.01561288900415	28.1887160750375	1	1.85613720759762	2.01347971964553	0.952409594743922	1.06107012490161	0.922349199753692	1.06107012490161
ENST00000378330	0.00813600019515041	0.264275294876467	7.00329109415689	36.9239038122863	1	3.45096052806077	2.63742170087759	2.43155604730575	0.20586565357184	0.547273904697799	0.547273904697799
ENST00000359005	0.00824823152191421	0.264303287104768	6.97876920855471	23.1511352333564	1	2.09954983090212	1.65365251666831	0.706155212679034	0.947497303989279	0.902534469881773	0.947497303989279
ENST00000367559	0.00818627157796356	0.264303287104768	6.99226457972787	18.7328411212148	1	1.99547741032921	1.33806008008677	0.504535086608984	0.833524993477788	0.908659123206961	0.908659123206961
ENST00000377298	0.00818013498222517	0.264303287104768	6.99360686215148	31.4064090111107	1	4.64342411087301	2.24331492936505	0.361496637341243	1.88181829202381	0.197129567172099	1.88181829202381
ENST00000402229	0.00824942725022791	0.264303287104768	6.97850979053376	52.5665711423881	1	1.6046849634854	3.75475508159915	1.45793949357172	2.29681558802743	0.97227765108018	2.29681558802743
ENST00000409677	0.00823062351436312	0.264303287104768	6.98259379693125	56.2945393044973	1	1.6853049430221	4.02103852174981	0.56265580905929	3.45838271269052	0.954572268789118	3.45838271269052
ENST00000413095	0.00824327294073721	0.264303287104768	6.97984540323359	25.709116685474	1	3.45655549640426	1.83636547753386	1.4108178855034	0.425547592030459	0.544548149643946	0.544548149643946
ENST00000620528	0.00816244990524051	0.264303287104768	6.99748096013026	18.0295849096593	1	3.24589752910892	1.28782749354709	0.579367570120154	0.708459923426935	0.647126280194965	0.708459923426935
